canonical_ticker,asset_class,motor,sector,benchmark,market_symbol,fundamentals_symbol,sec_ticker,country,active,note
ARM,CEDEAR,Fundamental,IA / Semiconductores,SMH,ARM,ARM,ARM,Exterior,SI,
TXAR,Acción,Fundamental,Materiales,^MERV,TXAR.BA,TXAR.BA,,Argentina,SI,
PAMP,Acción,Fundamental,Energia,^MERV,PAMP.BA,PAM,PAM,Argentina,SI,Ticker maestro único; fundamentales/SEC vía PAM.
CEPU,Acción,Fundamental,Energia,^MERV,CEPU.BA,CEPU,CEPU,Argentina,SI,
ECOG,Acción,Fundamental,Energia,^MERV,ECOG.BA,ECOG.BA,,Argentina,SI,
CVX,CEDEAR,Fundamental,Energia,XLE,CVX,CVX,CVX,Exterior,SI,
AAPL,CEDEAR,Fundamental,Tecnologico,XLK,AAPL,AAPL,AAPL,Exterior,SI,
SPCX,CEDEAR,Fundamental,Industrial,XLI,SPCX,SPCX,SPCX,Exterior,SI,
GOOGL,CEDEAR,Fundamental,Tecnologico,XLK,GOOGL,GOOGL,GOOGL,Exterior,SI,
MU,CEDEAR,Fundamental,IA / Semiconductores,SMH,MU,MU,MU,Exterior,SI,
ACN,CEDEAR,Fundamental,Otro,SPY,ACN,ACN,ACN,Exterior,SI,
COST,CEDEAR,Fundamental,Consumo Masivo,XLP,COST,COST,COST,Exterior,SI,
LLY,CEDEAR,Fundamental,Salud,XLV,LLY,LLY,LLY,Exterior,SI,
TSLA,CEDEAR,Fundamental,Tecnologico,XLK,TSLA,TSLA,TSLA,Exterior,SI,
VIST,CEDEAR,Fundamental,Energia,XLE,VIST,VIST,VIST,Exterior,SI,
YPF,Acción,Fundamental,Energia,^MERV,YPFD.BA,YPF,YPF,Argentina,SI,
BYMA.BA,Acción,Fundamental,Financiero,^MERV,BYMA.BA,BYMA.BA,,Argentina,SI,
PANW,CEDEAR,Fundamental,Tecnologico,XLK,PANW,PANW,PANW,Exterior,SI,
KEEL,CEDEAR,Alternativo,Otro,BTC-USD,KEEL,KEEL,KEEL,Exterior,SI,Ticker actualizado: BITF → KEEL.
BPC7D,Bono,Renta Fija,BONOS HD,,BPC7D,BPC7D,BPC7D,Exterior,SI,
BPD7D,Bono,Renta Fija,BONOS HD,,BPD7D,BPD7D,BPD7D,Exterior,SI,
GD30D,Bono,Renta Fija,BONOS HD,,GD30D,GD30D,GD30D,Exterior,SI,
AL30D,Bono,Renta Fija,BONOS HD,,AL30D,AL30D,AL30D,Exterior,SI,
AL35D,Bono,Renta Fija,BONOS HD,,AL35D,AL35D,AL35D,Exterior,SI,
GD38D,Bono,Renta Fija,BONOS HD,,GD38D,GD38D,GD38D,Exterior,SI,
GD41D,Bono,Renta Fija,BONOS HD,,GD41D,GD41D,GD41D,Exterior,SI,
PNXCD,ON,Renta Fija,ONs,,PNXCD,PNXCD,PNXCD,Exterior,SI,
PLC4D,ON,Renta Fija,ONs,,PLC4D,PLC4D,PLC4D,Exterior,SI,
VSCVD,ON,Renta Fija,ONs,,VSCVD,VSCVD,VSCVD,Exterior,SI,
YM34D,ON,Renta Fija,ONs,,YM34D,YM34D,YM34D,Exterior,SI,
YMCXD,ON,Renta Fija,ONs,,YMCXD,YMCXD,YMCXD,Exterior,SI,
IRCPD,ON,Renta Fija,ONs,,IRCPD,IRCPD,IRCPD,Exterior,SI,
RUCDD,ON,Renta Fija,ONs,,RUCDD,RUCDD,RUCDD,Exterior,SI,
RUCED,ON,Renta Fija,ONs,,RUCED,RUCED,RUCED,Exterior,SI,
TLCMD,ON,Renta Fija,ONs,,TLCMD,TLCMD,TLCMD,Exterior,SI,
TLCPD,ON,Renta Fija,ONs,,TLCPD,TLCPD,TLCPD,Exterior,SI,
TLCTD,ON,Renta Fija,ONs,,TLCTD,TLCTD,TLCTD,Exterior,SI,
