path,suffix,blocked_by_contamination_boundary,relevant_columns,all_columns,size_bytes
data/cache/delisted_prices_yahoo/LBRDA__2014-11-04__2026-08-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",63931
data/cache/delisted_prices_yahoo/LBRDK__2014-11-04__2026-08-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3406
data/cache/delisted_prices_yahoo/LBRDP__2020-12-22__2026-08-21.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3631
data/cache/delisted_prices_yahoo/LEG__1987-11-05__2026-08-27.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",176446
data/cache/delisted_prices_yahoo/LHO__1998-04-24__2018-11-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",99921
data/cache/delisted_prices_yahoo/LION__2024-05-14__2025-05-02.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7498
data/cache/delisted_prices_yahoo/LIPO__2025-10-17__2026-05-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",6097
data/cache/delisted_prices_yahoo/LPRO__2018-03-06__2026-07-31.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3395
data/cache/delisted_prices_yahoo/LTCH__2024-04-02__2026-05-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",9568
data/cache/delisted_prices_yahoo/MAPS__2026-04-28__2026-05-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3841
data/cache/delisted_prices_yahoo/MATH__2011-06-23__2018-03-29.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",5595
data/cache/delisted_prices_yahoo/MDV__2022-02-11__2026-08-19.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3360
data/cache/delisted_prices_yahoo/MFI__2024-04-22__2024-10-02.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",5529
data/cache/delisted_prices_yahoo/MGAM__1995-02-01__2026-05-28.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",20075
data/cache/delisted_prices_yahoo/MITL__2010-04-22__2018-11-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",34928
data/cache/delisted_prices_yahoo/MPU__1998-01-20__2024-10-08.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",95475
data/cache/delisted_prices_yahoo/MRDN__2011-03-01__2018-04-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",20847
data/cache/delisted_prices_yahoo/MSCC__1990-03-26__2018-05-29.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",115491
data/cache/delisted_prices_yahoo/MSGY__2026-08-10__2026-08-10.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3505
data/cache/delisted_prices_yahoo/MXCT__2021-07-30__2022-12-30.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",10089
data/cache/delisted_prices_yahoo/MYSEW__2021-08-13__2026-09-03.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",3682
data/cache/delisted_prices_yahoo/NCRA__2016-02-02__2022-08-10.parquet,.parquet,False,adj_close,"date,ticker,provider_symbol,close,adj_close",7812
