ensemble,top_n,policy,hold_floor,score_edge,fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,execution_skips,positive_month_share,total_cost_fraction_sum,execution_skip_rate,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown
H20,10,DAILY,,,WF_2019_2020,20.0,505,2.170363674365085,0.7785185286003682,-0.3511999299711741,18.838619319470197,504,0,0.75,0.07550399012962261,0.0,,,
H20,10,DAILY,,,WF_2019_2020,40.0,505,1.9397038941281521,0.7127269320884879,-0.35338766836444846,18.838619319470197,504,0,0.75,0.15100798025924522,0.0,,,
H20,10,DAILY,,,WF_2021_2022,20.0,503,0.16684751220030147,0.08037286238434804,-0.26840089078155893,19.42802441134582,502,0,0.5833333333333334,0.07755790697545198,0.0,,,
H20,10,DAILY,,,WF_2021_2022,40.0,503,0.0797333388020256,0.03918142057405927,-0.29283834720423785,19.42802441134582,502,0,0.5833333333333334,0.15511581395090396,0.0,,,
H20,10,EVENT_LOOSE,0.7,0.03,WF_2019_2020,20.0,505,2.213061569869507,0.7904311446375425,-0.33881513406788,4.686211648480374,82,0,0.75,0.018782038749861823,0.0,,,
H20,10,EVENT_LOOSE,0.7,0.03,WF_2019_2020,40.0,505,2.153252704593151,0.7737220618349443,-0.339153227178724,4.686211648480374,82,0,0.7083333333333334,0.037564077499723646,0.0,,,
H20,10,EVENT_LOOSE,0.7,0.03,WF_2021_2022,20.0,503,0.057235853489131516,0.028276638327814352,-0.2895672233407717,4.3238610931494375,75,0,0.5833333333333334,0.017261128014715618,0.0,,,
H20,10,EVENT_LOOSE,0.7,0.03,WF_2021_2022,40.0,503,0.03913573317232277,0.01941897364471723,-0.2924234555328664,4.3238610931494375,75,0,0.5833333333333334,0.034522256029431236,0.0,,,
H20,10,EVENT_BALANCED,0.8,0.05,WF_2019_2020,20.0,505,2.0576222701091758,0.7466719197351537,-0.3276360993418056,2.4737770281463294,42,0,0.6666666666666666,0.009914741263602351,0.0,,,
H20,10,EVENT_BALANCED,0.8,0.05,WF_2019_2020,40.0,505,2.027442702118969,0.7380475481999049,-0.3277676500703012,2.4737770281463294,42,0,0.6666666666666666,0.019829482527204702,0.0,,,
H20,10,EVENT_BALANCED,0.8,0.05,WF_2021_2022,20.0,503,0.1496394483366419,0.07236104503310314,-0.2355013857371212,2.1482833819260194,37,0,0.625,0.008576083659593555,0.0,,,
H20,10,EVENT_BALANCED,0.8,0.05,WF_2021_2022,40.0,503,0.13981771809234478,0.06776135418554396,-0.23565572410425029,2.1482833819260194,37,0,0.5833333333333334,0.01715216731918711,0.0,,,
H20,10,EVENT_STRICT,0.85,0.1,WF_2019_2020,20.0,505,2.085316084594115,0.7545484953371391,-0.3691794642373176,0.9803859119415979,14,0,0.7083333333333334,0.003929324488337357,0.0,,,
H20,10,EVENT_STRICT,0.85,0.1,WF_2019_2020,40.0,505,2.073208863304729,0.751109378835364,-0.36935559847878296,0.9803859119415979,14,0,0.7083333333333334,0.007858648976674714,0.0,,,
H20,10,EVENT_STRICT,0.85,0.1,WF_2021_2022,20.0,503,0.09930287329298126,0.048575131776192215,-0.3007823089509255,1.1497321919453272,19,0,0.5833333333333334,0.004589803909115075,0.0,,,
H20,10,EVENT_STRICT,0.85,0.1,WF_2021_2022,40.0,503,0.09426599828154236,0.04616537473540139,-0.3015888580484225,1.1497321919453272,19,0,0.5416666666666666,0.00917960781823015,0.0,,,
H20,15,MONTHLY,,,WF_2019_2020,20.0,505,2.601605484010134,0.8953834457896428,-0.33572000886153486,4.112561648815182,24,0,0.7083333333333334,0.016482885973425933,0.0,,,
H20,15,MONTHLY,,,WF_2019_2020,40.0,505,2.542659678668822,0.8798397411268273,-0.3362703985424723,4.112561648815182,24,0,0.7083333333333334,0.032965771946851866,0.0,,,
