ticker,first_date,last_date,rows,covered_rows,coverage
ROP,2014-01-02,2026-09-04,3188,3188,1.0
RSPP,2014-01-31,2018-07-18,1123,1123,1.0
RSVRW,2026-07-17,2026-07-27,7,7,1.0
RSYS,2013-12-23,2018-12-11,1251,1251,1.0
RTCJF,2023-01-03,2025-08-15,657,657,1.0
RTX,2014-01-02,2026-09-04,3188,3188,1.0
RUM,2022-09-12,2022-12-30,78,78,1.0
SACC,2019-12-02,2024-12-27,1277,1277,1.0
SAFE,2013-12-23,2023-04-06,2338,2338,1.0
SAP,2014-01-02,2026-09-04,3188,3188,1.0
SATCQ,2016-02-01,2016-08-01,127,127,1.0
SBUX,2014-01-02,2026-09-04,3188,3188,1.0
SCCB,2019-07-01,2024-06-28,1258,1258,1.0
SCG,2015-07-16,2018-12-28,871,871,1.0
SCHW,2014-01-02,2026-09-04,3188,3188,1.0
SDRL,2022-10-14,2023-10-18,254,254,1.0
SEP,2013-12-23,2018-12-14,1253,1253,1.0
SEVN,2021-12-20,2022-01-14,19,19,1.0
SGI,2013-12-23,2016-11-04,724,724,1.0
SHEL,2014-01-02,2026-09-04,3188,3188,1.0
SHOP,2015-06-01,2026-09-04,2834,2834,1.0
SHW,2014-01-02,2026-09-04,3188,3188,1.0
SID,2014-01-02,2026-09-04,3188,3188,1.0
SIRI,2024-09-04,2024-09-13,8,8,1.0
SKYT,2026-07-17,2026-07-17,1,1,1.0
SLAIY,2013-12-23,2026-09-03,3193,3193,1.0
SLB,2014-01-02,2026-09-04,3188,3188,1.0
SMTK,2024-05-31,2026-09-03,567,567,1.0
SNMX,2013-12-23,2018-11-05,1226,1226,1.0
SNPS,2014-01-02,2026-09-04,3188,3188,1.0
SNY,2014-01-02,2026-09-04,3188,3188,1.0
SOJA,2015-11-02,2020-10-19,1250,1250,1.0
SOJB,2016-09-30,2021-10-15,1270,1270,1.0
SONY,2014-01-02,2026-09-04,3188,3188,1.0
SOS,2025-09-30,2026-09-03,234,234,1.0
SPCX,2026-06-30,2026-09-04,48,48,1.0
SPGI,2014-01-02,2026-09-04,3188,3188,1.0
SPLS,2026-01-16,2026-04-10,58,58,1.0
SRZNW,2026-07-17,2026-07-17,1,1,1.0
STDY,2015-03-31,2018-08-30,863,863,1.0
STEX,2026-05-26,2026-06-01,5,5,1.0
STLD,2014-01-02,2026-09-04,3188,3188,1.0
STRD,2025-06-30,2026-09-03,298,298,1.0
STRP,2013-12-23,2018-02-27,1051,1051,1.0
STRR,2013-12-23,2025-08-25,2935,2935,1.0
STRRP,2019-09-30,2025-08-21,1482,1482,1.0
STRS,2013-12-23,2026-09-03,3193,3193,1.0
SUNE,2013-12-23,2016-04-25,588,588,1.0
SVU,2013-12-23,2018-10-22,1216,1216,1.0
SWSH,2016-02-01,2016-06-07,89,89,1.0
SYK,2014-01-02,2026-09-04,3188,3188,1.0
T,2014-01-02,2026-09-04,3188,3188,1.0
TALK,2026-07-17,2026-08-17,10,10,1.0
TBIO,2021-06-18,2022-02-25,175,175,1.0
TBRG,2026-07-09,2026-07-10,2,2,1.0
TC,2018-11-20,2020-05-01,363,363,1.0
TEAD,2026-05-26,2026-06-01,5,5,1.0
TEAM,2015-12-31,2026-09-04,2685,2685,1.0
TEL,2013-12-23,2024-10-01,2711,2711,1.0
TEN,2013-12-23,2022-11-16,2242,2242,1.0
TGT,2014-01-02,2026-09-04,3188,3188,1.0
TJX,2014-01-02,2026-09-04,3188,3188,1.0
TM,2014-01-02,2026-09-04,3188,3188,1.0
TMHC,2026-07-17,2026-07-23,2,2,1.0
TMO,2014-01-02,2026-09-04,3188,3188,1.0
TMUS,2014-01-02,2026-09-04,3188,3188,1.0
TRAK,2013-12-23,2024-10-07,2715,2715,1.0
TSLA,2014-01-02,2026-09-04,3188,3188,1.0
TSM,2014-01-02,2026-09-04,3188,3188,1.0
TSRO,2013-12-23,2019-01-17,1274,1274,1.0
TTWO,2014-01-02,2026-09-04,3188,3188,1.0
TVPT,2014-09-30,2019-05-30,1154,1154,1.0
TW,2019-04-04,2020-04-08,256,256,1.0
TXN,2014-01-02,2026-09-04,3188,3188,1.0
UBER,2019-05-31,2026-09-04,1827,1827,1.0
UDWKQ,2014-02-28,2017-12-13,956,956,1.0
UHAL-B,2022-11-30,2022-12-23,18,18,1.0
UHGWW,2026-05-04,2026-05-04,1,1,1.0
UL,2014-01-02,2026-09-04,3188,3188,1.0
UNH,2014-01-02,2026-09-04,3188,3188,1.0
UNP,2014-01-02,2026-09-04,3188,3188,1.0
UPGI,2013-12-23,2018-06-15,1128,1128,1.0
UPS,2014-01-02,2026-09-04,3188,3188,1.0
USB,2014-01-02,2026-09-04,3188,3188,1.0
UWMC,2020-05-01,2021-03-04,212,212,1.0
UZB,2015-01-02,2021-05-11,1600,1600,1.0
V,2014-01-02,2026-09-04,3188,3188,1.0
VALE,2014-01-02,2026-09-04,3188,3188,1.0
VIASP,2026-06-30,2026-07-09,7,7,1.0
VIP,2026-07-20,2026-07-27,6,6,1.0
VISN,2026-01-08,2026-02-13,26,26,1.0
VIST,2019-07-31,2026-09-04,1785,1785,1.0
VLO,2014-01-02,2026-09-04,3188,3188,1.0
VLTO,2026-05-26,2026-06-01,5,5,1.0
VRTX,2014-01-02,2026-09-04,3188,3188,1.0
VS,2016-02-29,2021-01-14,1230,1230,1.0
VVC,2013-12-23,2019-02-26,1276,1276,1.0
VZ,2014-01-02,2026-09-04,3188,3188,1.0
VZA,2014-02-28,2019-03-08,1265,1265,1.0
WBS,2026-07-17,2026-08-20,13,13,1.0
WES,2013-12-23,2019-03-04,1306,1306,1.0
WFC,2014-01-02,2026-09-04,3188,3188,1.0
WM,2014-01-02,2026-09-04,3188,3188,1.0
WMB,2014-01-02,2026-09-04,3188,3188,1.0
WMG,2020-06-03,2020-10-02,86,86,1.0
WMT,2014-01-02,2026-09-04,3188,3188,1.0
WOLF,2025-09-30,2025-09-30,1,1,1.0
WSCI,2013-12-23,2018-11-07,1228,1228,1.0
XCRA,2013-12-23,2018-10-01,1202,1202,1.0
XOM,2014-01-02,2026-09-04,3188,3188,1.0
XPLR,2013-12-23,2018-08-13,1168,1168,1.0
YPF,2014-01-02,2026-09-04,3188,3188,1.0
ZAIS,2013-12-23,2018-05-18,1108,1108,1.0
ZTS,2014-01-02,2026-09-04,3188,3188,1.0
