date,nav,net_return,turnover,cost_fraction,holdings,cash_weight,max_name_weight,rebalance_scheduled,requested_trade_notional,executed_trade_notional,blocked_requested_notional,target_deviation_notional,blocked_trade_names,partial_execution,full_skip,expected_incremental_return
2021-12-10,1.0786645596700337,0.0009199840007969584,0.020636514341866915,4.127302868373383e-05,125,0.0,0.17967883641561666,1,0.8160590825545605,0.04127302868373383,0.4021360633938138,0.8042721267876276,6,1,0,0.019738961053272462
2021-12-13,1.0772684932666863,-0.001294254447160581,0.019568996057193158,3.913799211438632e-05,125,0.0,0.1799046465355774,1,0.8143532328015618,0.039137992114386316,0.40264144507663735,0.8052828901532745,6,1,0,0.020413996969109068
2021-12-14,1.0764955733079058,-0.0007174812626671301,0.055612175553507025,0.00011122435110701405,123,0.0,0.18001379328170655,1,0.8082162505706237,0.11122435110701405,0.4028857245015057,0.8057714490030115,6,1,0,0.019567681529400152
2021-12-15,1.0783686805005088,0.001740004547206242,0.021421400257167215,4.284280051433443e-05,129,0.0,0.17969341362985222,1,0.8131815544383465,0.04284280051433443,0.40216868840221703,0.8043373768044342,6,1,0,0.019935912356608708
2021-12-16,1.0775442695202389,-0.0007644982603606243,0.05232599573964298,0.00010465199147928596,128,1.1102230246251565e-16,0.17981207437431115,1,0.8118863270189406,0.10465199147928596,0.43435866625409003,0.8048685218809275,7,1,0,0.02300437158308383
2021-12-17,1.0783224825085989,0.0007222097600745325,0.01359525862364194,2.7190517247283883e-05,131,0.0,0.17967742040432053,1,0.9293229841719935,0.02719051724728388,0.46014554812239084,0.9202910962447817,7,1,0,0.02290021879141109
2021-12-20,1.0758259206574108,-0.0023152274868460943,0.017854966010557208,3.570993202111441e-05,130,0.0,0.18008794870474312,1,0.9278691296256563,0.035709932021114416,0.46119689207753356,0.9223937841550671,7,1,0,0.023176546921823353
2021-12-21,1.0777557044123838,0.001793769528990019,0.05849803701446694,0.00011699607402893388,126,0.0,0.17974445898822689,1,0.9234398017329692,0.11699607402893387,0.4603172308294752,0.9206344616589504,7,1,0,0.02286882067305361
2021-12-22,1.0787656916470434,0.0009371207505788348,0.051157944440448855,0.0001023158888808977,129,0.0,0.1795578009329515,1,0.9277166968813176,0.10231588888089771,0.4598392081989027,0.9196784163978052,7,1,0,0.022848602330270674
2021-12-23,1.079742073960156,0.0009050921072786267,0.016521621513672972,3.3043243027345944e-05,130,0.0,0.1793895037369369,1,0.9222425195876466,0.033043243027345945,0.4594082068781283,0.9188164137562566,7,1,0,0.02274713103547465
2021-12-27,1.0812684192468205,0.0014136202742072168,0.011469258257279956,2.2938516514559913e-05,133,0.0,0.1791321639491218,1,0.9218164959589649,0.02293851651455991,0.45874917160563033,0.9174983432112609,7,1,0,0.023132820698153072
2021-12-28,1.0810164346514328,-0.00023304536681389987,0.021410392968922713,4.282078593784543e-05,133,0.0,0.1791662472328818,1,0.9335729152326494,0.042820785937845426,0.45883645731605666,0.9176729146321133,7,1,0,0.023100825528797123
2021-12-29,1.0814473891228364,0.00039865672490213555,0.0132432546047064,2.6486509209412802e-05,129,1.1102230246251565e-16,0.17909010626919677,1,0.9250785767987767,0.0264865092094128,0.4586414638361271,0.9172829276722542,7,1,0,0.022799549914630533
2021-12-30,1.081496092673864,4.5035525090941775e-05,0.018106957859667913,3.621391571933583e-05,131,0.0,0.17907555595348887,1,0.9243856184504314,0.036213915719335826,0.45860420115180256,0.9172084023036052,7,1,0,0.022769943843787475
2021-12-31,1.0815959216682798,9.230638473134434e-05,0.008642931225058362,1.7285862450116726e-05,132,0.00013656434322489232,0.17905593247226925,1,0.9215852679696995,0.017285862450116724,0.4585539463256728,0.9171078926513454,7,1,0,0.023134416445105242
2022-01-03,1.0827383246741342,0.0010562197794647954,0.012822023511819386,2.564404702363877e-05,131,0.0,0.1788624227248321,1,0.9306919851421386,0.02564404702363877,0.4582548085691399,0.9161167536579078,8,1,0,0.023348231685151252
2022-01-04,1.0809431111404502,-0.0016580308397454724,0.02840802982539614,5.681605965079229e-05,130,0.0,0.1791492955236501,1,0.9274078920716328,0.05681605965079228,0.45879304477418875,0.9175860895483774,7,1,0,0.02391990380513088
2022-01-05,1.0780689441512634,-0.002658943805242786,0.04564893751983184,9.129787503966368e-05,126,0.0,0.1796105138367767,1,0.9249521979142815,0.09129787503966368,0.45997420350309387,0.9199484070061877,7,1,0,0.022516967716682434
2022-01-06,1.0778503412329352,-0.00020277267007284827,0.023459469707761357,4.6918939415522714e-05,127,0.0,0.17963851248278365,1,0.9276570996866642,0.04691893941552271,0.46004590673817236,0.9200918134763447,7,1,0,0.02211813999981209
