decision_id,asof,period_start,period_end,universe_rows,full_alpha_available,candidate_count,selected_count,gross_return_1m_reconstructed,turnover_reconstructed,transaction_cost_return_reconstructed,net_return_1m_reconstructed,net_return_1m_persisted,gross_return_1m_persisted,turnover_persisted,transaction_cost_return_persisted,replay_error,gross_replay_error,turnover_replay_error,cost_replay_error,weights_sum
101,2022-05-31,2022-05-31,2022-06-30,178,137,28,28,-0.18293684256732873,0.12123212186830645,1.2123212186830646e-05,-0.18294896577951555,-0.1828752672558496,-0.1828630071615498,0.1226009429980637,1.2260094299806371e-05,-7.369852366595486e-05,-7.383540577893255e-05,-0.0013688211297572528,-1.3688211297572587e-07,1.0000000000000002
102,2022-06-30,2022-06-30,2022-07-29,178,137,28,28,0.14126234697894324,0.057764227498672494,5.77642274986725e-06,0.14125657055619337,0.1411518864242694,0.1411576205750597,0.0573415079031557,5.734150790315578e-06,0.00010468413192396553,0.00010472640388353716,0.0004227195955167906,4.2271959551671744e-08,1.0
103,2022-07-29,2022-07-29,2022-08-31,178,137,28,28,0.02460283807945021,0.036501567821278974,3.6501567821278977e-06,0.024599187922668082,0.0244987210058284,0.0245024066293297,0.0368562350132695,3.6856235013269568e-06,0.00010046691683968101,0.00010043145012050836,-0.00035466719199052366,-3.546671919905909e-08,1.0000000000000002
104,2022-08-31,2022-08-31,2022-09-30,178,137,28,28,-0.09831525897793124,0.008774909134509777,8.774909134509777e-07,-0.09831613646884468,-0.0982032709041555,-0.0982023785582622,0.0089234589334749,8.92345893347497e-07,-0.00011286556468918796,-0.00011288041966904527,-0.00014854979896512278,-1.4854979896519272e-08,1.0
105,2022-09-30,2022-09-30,2022-10-31,178,137,28,28,0.18995982935985573,0.062308856055387836,6.230885605538784e-06,0.1899535984742502,0.1901626552419456,0.1901689024226239,0.0624718067828719,6.247180678287197e-06,-0.0002090567676953925,-0.0002090730627681836,-0.00016295072748406109,-1.629507274841298e-08,1.0
106,2022-10-31,2022-10-31,2022-11-30,178,137,28,28,0.041264297016511506,0.021757376629766196,2.17573766297662e-06,0.041262121278848526,0.0412706531875793,0.0412728144936473,0.0216130606798443,2.1613060679844374e-06,-8.53190873077031e-06,-8.517477135795704e-06,0.0001443159499218971,1.4431594992182488e-08,1.0
107,2022-11-30,2022-11-30,2022-12-30,178,137,28,28,-0.05555257317570543,0.14188537719788472,1.4188537719788472e-05,-0.05556676171342522,-0.0555237909372651,-0.0555096266573044,0.1416427996076652,1.4164279960766524e-05,-4.297077616011863e-05,-4.2946518401032474e-05,0.00024257759021950598,2.4257759021948004e-08,1.0
108,2022-12-30,2022-12-30,2023-01-31,178,137,28,28,0.07817032959397867,0.12608016611227185,1.2608016611227187e-05,0.07815772157736744,0.0779094038983753,0.0779218361222065,0.1243222383120738,1.2432223831207384e-05,0.0002483176789921382,0.0002484934717721654,0.001757927800198053,1.757927800198025e-07,0.9999999999999998
109,2023-01-31,2023-01-31,2023-02-28,178,137,28,28,-0.016719343306001687,0.10724934896181434,1.0724934896181435e-05,-0.01673006824089787,-0.0166607103336319,-0.0166499791188649,0.1073121476694917,1.073121476694917e-05,-6.935790726596974e-05,-6.936418713678755e-05,-6.279870767735007e-05,-6.2798707677348665e-09,1.0
110,2023-02-28,2023-02-28,2023-03-31,178,137,28,28,-0.009022115474837491,0.07016523083768791,7.016523083768792e-06,-0.00902913199792126,-0.0089707739550442,-0.0089637659031182,0.0700805192608171,7.008051926081713e-06,-5.835804287706095e-05,-5.834957171929091e-05,8.471157687081621e-05,8.471157687079547e-09,1.0
111,2023-03-31,2023-03-31,2023-04-28,178,137,28,28,-0.03970361646759908,0.07519035067078653,7.519035067078653e-06,-0.03971113550266616,-0.0397153014447143,-0.0397077891372692,0.0751230744508082,7.512307445080821e-06,4.165942048141302e-06,4.172669670121643e-06,6.727621997833222e-05,6.727621997831501e-09,0.9999999999999999
112,2023-04-28,2023-04-28,2023-05-31,178,137,28,28,0.00542839700104405,0.196561935770871,1.9656193577087102e-05,0.005408740807466963,0.0055615690000162,0.0055811264166708,0.1955741665457111,1.955741665457111e-05,-0.00015282819254923766,-0.00015272941562674992,0.0009877692251598902,9.877692251599102e-08,1.0
