sample,entry_signal_date,current_new_positions,candidate_positive_positions,positive_fraction,observations,current_effective_n,candidate_effective_n,gross_entry_weight,minimum_variance,current_variance,candidate_variance,risk_ratio,current_alpha_daily,candidate_alpha_daily,alpha_uplift_daily
PRE2025_OOF,2019-02-22,7,6,0.8571428571428571,120,4.232529223546438,3.244915014823246,0.0527307654288178,2.759199205240338e-07,3.122311057859957e-07,3.122311057861471e-07,1.0000000000004847,5.044480581805255e-06,5.4440921730059415e-06,3.996115912006864e-07
PRE2025_OOF,2019-02-25,13,7,0.5384615384615384,120,7.870977033993868,4.544018890406089,0.1370537913931993,1.3012901714763916e-06,1.9296789059927996e-06,1.9296789059940863e-06,1.0000000000006668,2.877120370336915e-05,3.2773829102898254e-05,4.002625399529103e-06
PRE2025_OOF,2019-02-27,11,4,0.36363636363636365,120,7.505950175974127,3.2537852819545634,0.12666144310864258,2.500015951193324e-06,3.436106376133933e-06,3.436106376133982e-06,1.0000000000000142,2.4053397755687157e-05,3.0140623157054806e-05,6.08722540136765e-06
PRE2025_OOF,2019-02-28,10,4,0.4,120,4.779996456822956,1.9476567343109934,0.18217982847663622,1.7280214328438062e-06,2.8434737129597653e-06,2.8434737129610676e-06,1.000000000000458,3.745748394622003e-05,4.6281762602175676e-05,8.824278655955646e-06
PRE2025_OOF,2019-03-11,6,5,0.8333333333333334,120,4.493933369210698,3.215729905414587,0.0701521547176216,5.140104510832847e-07,5.621326577855859e-07,5.621326577858783e-07,1.0000000000005203,1.1094102845321104e-05,1.2500959065644236e-05,1.406856220323132e-06
PRE2025_OOF,2019-03-12,5,3,0.6,120,2.978918001935583,2.1185362680993554,0.0449417909931466,3.431950418009621e-07,3.8910466259567145e-07,3.8910466259567034e-07,0.9999999999999971,6.072519579994381e-06,6.758019419394072e-06,6.854998393996907e-07
PRE2025_OOF,2019-03-19,6,5,0.8333333333333334,120,4.055328811685094,2.6931267442872118,0.09296538733116069,8.069983434539656e-07,8.323887167631644e-07,8.323887167636341e-07,1.0000000000005642,1.543083863162736e-05,1.6650422688591087e-05,1.2195840569637252e-06
PRE2025_OOF,2019-03-20,6,5,0.8333333333333334,120,2.7802017705523414,2.413851855571436,0.07358822198136401,8.302694567557354e-07,9.773095199618627e-07,9.773095199622096e-07,1.0000000000003548,1.9635516905235612e-05,2.039408693796125e-05,7.585700327256374e-07
PRE2025_OOF,2019-03-25,5,3,0.6,120,3.5482978833062946,2.715236458175296,0.051139059138955396,7.353673624520983e-07,9.682688055509934e-07,9.682688055517398e-07,1.000000000000771,8.175741384508927e-06,8.605538619935752e-06,4.297972354268249e-07
PRE2025_OOF,2019-03-26,5,4,0.8,120,3.7351849070338994,3.2038219225231233,0.018950435326513,1.0616295774074037e-07,1.0928124642317598e-07,1.0928124642318461e-07,1.000000000000079,2.0163608259865977e-06,2.173698655415724e-06,1.5733782942912644e-07
