metric,sample,scope,quintile,lifecycles,signal_dates,mean_exante_metric,mean_target_weight,mean_holding_sessions,exposure_nav_days,net_pnl_nav_units,net_active_pnl_nav_units,daily_net_on_exposure,daily_net_active_on_exposure,positive_pnl_rate,positive_active_rate
EXPECTED_CONTRIBUTION,PRE2025_OOF,SPARSE_ENTRY_DATE,3,425,425,1.9907943225470884e-05,0.006848708023272692,15.352941176470589,275.63408247928396,0.24633554530215238,-0.03887692570533073,0.0008937049550853944,-0.0001410454228143308,0.5435294117647059,0.5364705882352941
EXPECTED_CONTRIBUTION,PRE2025_OOF,SPARSE_ENTRY_DATE,4,282,282,3.3642674511669806e-05,0.010096151130782651,25.574468085106382,506.7882040276979,0.40239400943497894,-0.02704126082343314,0.0007940082390177073,-5.3358110170131806e-05,0.5851063829787234,0.5212765957446809
EXPECTED_CONTRIBUTION,PRE2025_OOF,SPARSE_ENTRY_DATE,5,1023,1023,9.224749363241247e-05,0.016645913877640806,18.107526881720432,1317.8515409545703,0.8156200742468707,-0.3831986811407035,0.00061890133213039,-0.0002907753030080596,0.5777126099706745,0.5073313782991202
CONVICTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,1,34,28,0.02163707855858122,0.006812060657426538,13.264705882352942,7.849604728295826,-0.018229911371176594,-0.024592624037025,-0.002322398643267018,-0.003132976103672438,0.4411764705882353,0.4411764705882353
CONVICTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,2,36,28,0.03194225805108628,0.009895583497140542,24.194444444444443,23.215819238336678,0.03245231792824423,0.015092188269875715,0.001397853661552256,0.0006500820890676874,0.6388888888888888,0.5555555555555556
CONVICTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,3,38,28,0.044670771198605595,0.013820005707459034,24.657894736842106,26.22851995248541,0.011614688454072942,-0.026062586017304178,0.0004428266816089383,-0.0009936735303600114,0.5789473684210527,0.5526315789473685
CONVICTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,4,36,28,0.05856436728149547,0.01821341848258299,49.583333333333336,67.55506453113698,0.08349231064138558,-0.025741823928569205,0.0012359148972894982,-0.00038104950542537744,0.5555555555555556,0.4444444444444444
CONVICTION,FINAL_HOLDOUT,PRIMARY_5PLUS_ENTRIES,5,43,28,0.0797236322501044,0.024344703135932795,44.348837209302324,55.76073796381101,0.0397177516320238,-0.012900888678276861,0.000712288844846365,-0.0002313615125870393,0.5348837209302325,0.5348837209302325
CONVICTION,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,2,119,119,0.020054749451817813,0.006359112429752563,13.672268907563025,47.95697395830426,0.07780073996151654,-0.04533727113940593,0.0016223029424074936,-0.00094537389241498,0.5798319327731093,0.5210084033613446
CONVICTION,FINAL_HOLDOUT,SPARSE_ENTRY_DATE,3,156,156,0.02510769172701553,0.007974280807970757,11.044871794871796,52.63069919922118,0.052224242373800696,-0.12492917215966572,0.0009922771912286032,-0.0023736939478378504,0.4935897435897436,0.4423076923076923
